รหัสรายการ,จังหวัด,ชื่อหน่วยงาน,ประเภทสถานที่,รูปแบบการศึกษา,กลุ่มเป้าหมาย,ขอบเขต/รูปแบบการเรียนรู้,อำเภอ,ตำบล,พิกัดที่ตั้ง,แถวต้นฉบับ,ข้อควรตรวจสอบ
TZD-C6557A0008,มหาสารคาม,สกร.ระดับอำเภอยางสีสุราช,วิชาการ,นอกระบบ,เด็ก เยาวชน และประชาชนทั่วไป,,ยางสีสุราช,,อำเภอยางสีสุราช,231,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้
TZD-4EF09F7620,มหาสารคาม,สกร.ระดับอำเภอกุดรัง,วิชาการ,นอกระบบ,เด็ก เยาวชน และประชาชนทั่วไป,,กุดรัง,,อำเภอกุดรัง,232,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้
TZD-453A4140C9,มหาสารคาม,สกร.ระดับอำเภอชื่นชม,วิชาการ,นอกระบบ,เด็ก เยาวชน และประชาชนทั่วไป,,ชื่นชม,,อำเภอชื่นชม,233,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้
TZD-4250F1FD18,มหาสารคาม,เทคนิคมหาสารคาม,วิชาชีวิต,,,,,,,234,ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-529BE3B8E4,มหาสารคาม,อาชีวศึกษามหาสารคาม,วิชาชีวิต,,,,,,,235,ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-854AACB0F8,มหาสารคาม,วิทยาลัยการอาชีพมหาสารคาม,วิชาชีวิต,,,,,,,236,ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-DCD2CF1928,มหาสารคาม,วิทยาลัยเทคนิควาปีปทุม,วิชาชีวิต,,,,,,,237,ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-69731E35B9,มหาสารคาม,วิทยาลัยการอาชีพพยัคฆภูมิพิสัย,วิชาชีวิต,,,,,,,238,ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-C02CFF9246,มุกดาหาร,สกร./สพป./สพม.,วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการเรียน,,,ภายในจังหวัดมุกดาหาร,239,
TZD-79B005B9B1,มุกดาหาร,CYF นครพนม,วิชาการ,นอกระบบ,เด็กและเยาวชน,จัดการเรียน,,,จังหวัดนครพนม,240,
TZD-4BC4D0DD9A,มุกดาหาร,ศูนย์พัฒนาฝีมือแรงงาน,วิชาชีพ,นอกระบบ,เยาวชน,ฝึกอบรม,,,มุกดาหาร,241,
TZD-12EE81549F,มุกดาหาร,วิทยาลัยชุมชนในมุกดาหาร,วิชาชีพ,นอกระบบ,เยาวชน,ฝึกอบรม,,,มุกดาหาร,242,
TZD-A3E23EBF86,มุกดาหาร,ศูนย์ฝึกอาชีพสตรี,วิชาชีพ,ในระบบ,เยาวชน,ฝึกอบรม,,,มุกดาหาร,243,
TZD-FB161C11FC,มุกดาหาร,มูลนิธิสยาม-แคร์,วิชาชีวิต,นอกระบบ,เยาวชน/เด็ก,จัดอบรม,เมืองมุกดาหาร,,อ.เมือง จ.มุกดาหาร,244,
TZD-7738EADA60,มุกดาหาร,มูลนิธิหอแก้วสีรุ้ง,วิชาชีวิต,นอกระบบ,เยาวชน/เด็ก,จัดอบรม,เมืองมุกดาหาร,,อ.เมือง จ.มุกดาหาร,245,
TZD-575C581E0E,มุกดาหาร,มูลนิธิ CCF มุกดาหาร,วิชาชีวิต,นอกระบบ,เยาวชน/เด็ก,จัดอบรม,เมืองมุกดาหาร,,อ.เมือง จ.มุกดาหาร,246,
TZD-DE8E1F366F,ยะลา,รร.ราชประชานุเคราะห์,วิชาการ,ในระบบ,,ตามระเบียบของกระทรวงศึกษาธิการ,,,,247,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-575252B9CC,ยะลา,สกร.,วิชาการ,ในระบบ,,ตามระเบียบของกระทรวงศึกษาธิการ,,,,248,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-FCF9D0003C,ยะลา,รร.ประชารัฐ,วิชาการ,ในระบบ,,ตามระเบียบของกระทรวงศึกษาธิการ,,,,249,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-D00ED6F75D,ยะลา,สถาบันปอเนาะในระบบ,วิชาการ,ในระบบ,,ตามหลักสูตรอิสลามศึกษา,,,,250,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-CC1A467E78,ยะลา,สถาบันปอเนาะนอกระบบ,วิชาการ,นอกระบบ,,ตามหลักสูตรอิสลามศึกษา,,,,251,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-84B35CC32A,ยะลา,ศูนย์ฝึกอาชีพ,วิชาชีพ,ตามอัธยาศัย,,,,,,252,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-56893227DB,ยะลา,วิทยาลัยการอาชีพ,วิชาการ,ในระบบ,,ตามระเบียบของกระทรวงศึกษาธิการ,,,,253,ยังไม่ระบุกลุ่มเป้าหมาย
TZD-6431BD0BA3,ยโสธร,สถานศึกษาในสังกัด สพฐ/อปท.,วิชาการ,ในระบบ,นักเรียน 3-18 ปี,จัดการเรียนการสอนในห้องเรียน ระดับการศึกษาขั้นพื้นที่,,,ทุกตำบล/จังหวัด,254,
TZD-9895DBDDC1,ยโสธร,ศูนย์การเรียนรู้ฯ (สกร.),วิชาการ,นอกระบบ,เด็กและเยาวชนตลอดจนประชาชนทั่วไป,ห้องเรียน/ตามอัธยาศัย ระดับการศึกษาขั้นพื้นฐาน,,,ทุกตำบล,255,
TZD-BD215550F2,ยโสธร,สถานศึกษา,วิชาการ,ในระบบ,เด็กและเยาวชน 3-18 ปี,จัดการเรียนการสอนในห้องเรียน ระดับเตรียมอนุบาล จนถึงการศึกษาขั้นพื้นฐาน,,,เกือบทุกตำบลในจังหวัด,256,
TZD-4A06534C45,ยโสธร,ห้องสมุดประชาชน เฉลิมราชกุมารี ยโสธร/ห้องสมุดเคลื่อนที่(สกร.),วิชาการ,ตามอัธยาศัย,ประชาชนทุกคน ไม่จำกัดอายุ,สามารถศึกษาเรียนรู้ได้ตามความสนใจ,คำเขื่อนแก้ว,ลุมพุก,ตำบล ลุมพุก อำเภอ คำเขื่อนแก้ว ยโสธร,257,
TZD-9C9AE17AC5,ยโสธร,สถานศึกษาในสังกัด สอศ,วิชาชีพ,ในระบบ,เด็กและเยาวชนที่จบการศึกษาภาคบังคับและมีอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนวิชาพื้นฐานและฝึกอาชีพทักษะตามสาขาที่เรียน,,,ทุกอำเภอ,258,
TZD-4110EF5C64,ยโสธร,สำนักงานพัฒนาฝีมือแรงงานจังหวัด,วิชาชีพ,ตามอัธยาศัย,เด็กและเยาวชนที่จบการศึกษาภาคบังคับและมีอายุ 15 ปีขึ้นไป,การฝึกอบรมอาชีพระยะสั้น,เมืองยโสธร,,อ.เมือง จ.ยโสธร,259,
TZD-B482C9AD5C,ยโสธร,ศพค. หัวเมือง,วิชาชีวิต,ตามอัธยาศัย,ศูนย์ละ 30 คน อบรม 10-15 วัน,"เป็นการฝึกอาชีพเชิงบวกสำหรับสมาชิกในครอบครัว สตรี,เด็ก เช่นสานตะกร้า ทอผ้าลายพื้นเมือง",มหาชนะชัย,หัวเมือง,ต.หัวเมือง อ.มหาชนะชัย,260,
TZD-CAC7B0C893,ยโสธร,ศพค. ศรีแก้ว,วิชาชีวิต,ตามอัธยาศัย,ศูนย์ละ 30 คน อบรม 10-15 วัน,"เป็นการฝึกอาชีพเชิงบวกสำหรับสมาชิกในครอบครัว สตรี,เด็ก เช่นสานตะกร้า ทอผ้าลายพื้นเมือง",เลิงนกทา,ศรีแก้ว,ต.ศรีแก้ว อ.เลิงนกทา จ.ยโสธร,261,
TZD-7A52C8F0EE,ระนอง,วิทยาลัยเทคนิคระนอง,วิชาชีพ,ในระบบ,เด็กและเยาวชนที่ต้องการมีทักษะอาชีพ,จัดการศึกษาอาชีวะศึกษา เช่น ช่างไฟฟ้า ช่างยนต์,เมืองระนอง,บางนอน,ต.บางนอน อ.เมือง จ.ระนอง,262,
TZD-4E628D404C,ระนอง,วิทยาลัยเกษตรและเทคโนโลยีระนอง,วิชาชีพ,ในระบบ,เด็กและเยาวชนที่ต้องการมีทักษะอาชีพ,จัดการศึกษาด้านการเกษตร,เมืองระนอง,ราชกรูด,ต.ราชกรูด อ.เมือง จ.ระนอง,263,
TZD-C2417F734D,ระนอง,วิทยาลัยการอาชีพกระบุรี,วิชาชีพ,ในระบบ,เด็กและเยาวชนที่ต้องการมีทักษะอาชีพ,จัดการศึกษาหลักสูตรอาชีวะศึกษา,กระบุรี,น้ำจืดน้อย,ต.น้ำจืดน้อย อ.กระบุรี จ.ระนอง,264,
TZD-2AEDA8F883,ระนอง,สถาบันพัฒนาฝีมือแรง จ.ระนอง,วิชาชีพ,ตามอัธยาศัย,เยาวชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพระยะสั้น,เมืองระนอง,บางนอน,ต.บางนอน อ.เมือง จ.ระนอง,265,
TZD-DA436F8E4E,ระนอง,สกร.ระดับอำเภอเมืองระนอง,วิชาการ,นอกระบบ,เด็กและเยาวชน อายุ 15 ปีขึ้นไป,"จัดการเรียนรู้การศึกษานอกระบบ ระดับการศึกษาขั้นพื้นฐาน, การศึกษาต่อเนื่องการศึกษาตามอัธยาศัย",เมืองระนอง,บางริ้น,ต.บางริ้น อ.เมือง จ.ระนอง,266,
TZD-98590F4A81,ระนอง,สกร.ระดับอำเภอกระบุรี,วิชาการ,นอกระบบ,เด็กและเยาวชน อายุ 15 ปีขึ้นไป,"จัดการเรียนรู้การศึกษานอกระบบ ระดับการศึกษาขั้นพื้นฐาน, การศึกษาต่อเนื่องการศึกษาตามอัธยาศัย",กระบุรี,น้ำจืด,ต.น้ำจืด อ.กระบุรี จ.ระนอง,267,
TZD-735EB4528D,ระนอง,สกร. ระดับอำเภอละอุ่น,วิชาการ,นอกระบบ,เด็กและเยาวชน อายุ 15 ปีขึ้นไป,"จัดการเรียนรู้การศึกษานอกระบบ ระดับการศึกษาขั้นพื้นฐาน, การศึกษาต่อเนื่องการศึกษาตามอัธยาศัย",ละอุ่น,บางแก้ว,ต.บางแก้ว อ.ละอุ่น จ.ระนอง,268,
TZD-6EF258316D,ระนอง,สกร. ระดับอำเภอกะเปอร์,วิชาการ,นอกระบบ,เด็กและเยาวชน อายุ 15 ปีขึ้นไป,"จัดการเรียนรู้การศึกษานอกระบบ ระดับการศึกษาขั้นพื้นฐาน, การศึกษาต่อเนื่องการศึกษาตามอัธยาศัย",กะเปอร์,กะเปอร์,ต.กะเปอร์ อ.กะเปอร์ จ.ระนอง,269,
TZD-F081FF3A68,ระนอง,สกร. ระดับอำเภอสุขสำราญ,วิชาการ,นอกระบบ,เด็กและเยาวชน อายุ 15 ปีขึ้นไป,"จัดการเรียนรู้การศึกษานอกระบบ ระดับการศึกษาขั้นพื้นฐาน, การศึกษาต่อเนื่องการศึกษาตามอัธยาศัย",สุขสำราญ,นาคา,ต.นาคา อ.สุขสำราญ จ.ระนอง,270,
TZD-5021145DC9,ระนอง,โรงเรียนพิชัยรัตนาคาร,วิชาการ,ในระบบ,เด็กและเยาวชน การศึกษาภาคบังคม,จัดการศึกษาระดับมัธยมศึกษา,เมืองระนอง,,อ.เมือง จ.ระนอง,271,
TZD-293F567DC4,ระนอง,โรงเรียนสตรีระนอง,วิชาการ,ในระบบ,เด็กและเยาวชน การศึกษาภาคบังคม,จัดการศึกษาระดับมัธยมศึกษา,เมืองระนอง,,อ.เมือง จ.ระนอง,272,
TZD-E12254284A,ระนอง,โรงเรียนกระบุรีวิทยา,วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการศึกษาภาคบังคับ,กระบุรี,,อ.กระบุรี จ.ระยอง,273,
TZD-49CAA9821C,ระนอง,โรงเรียนละอุ่นวิทยาคาร,วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการศึกษาภาคบังคับ,ละอุ่น,บางแก้ว,ต.บางแก้ว อ.ละอุ่น จ.ระนอง,274,
TZD-476E1D5438,ระนอง,โรงเรียนกะเปอร์วิทยา,วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการศึกษาภาคบังคับ,กะเปอร์,กะเปอร์,ต.กะเปอร์ อ.กะเปอร์ จ.ระนอง,275,
TZD-0DEDF8E17D,ระนอง,โรงเรียนไทยรัฐวิทยา 67 (โรงเรียนบ้านนาพรุ),วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการศึกษาภาคบังคับ,สุขสำราญ,นาคา,ต.นาคา อ.สุขสำราญ จ.ระนอง,276,
TZD-87D2B265C9,ระยอง,สกร. ระดับอำเภอทุกแห่ง,วิชาการ,นอกระบบ,ประชาชนทั่วไป อายุ 15 ปีขึ้นไป,จัดการเรียนการสอน แบบพบกลุ่ม/ออนไลน์,,,ทุกอำเภอ ในพื้นที่จังหวัดระยอง,277,
TZD-C390B8FE09,ระยอง,สกร. ระดับตำบลทุกแห่ง,วิชาการ,นอกระบบ,ประชาชนทั่วไป อายุ 15 ปีขึ้นไป,จัดการเรียนการสอน แบบพบกลุ่ม/ออนไลน์/ ฝึกอาชีพ อบรมระยะสั้น,,,ทุกตำบล ในพื้นที่จังหวัดระยอง,278,
TZD-AE5059FA9B,ระยอง,สถาบันพัฒนาฝึมือแรงงาน จ.ระยอง,วิชาชีพ,ตามอัธยาศัย,นักเรียน / นักศึกษา ที่สนใจ,จัดอบรม / ฝึกอาชีพเบื้องต้น,,,พัฒนาฝีมือแรงงานจังหวัดระยอง,279,
TZD-5ED77E00FA,ร้อยเอ็ด,สกร.ระดับอำเภอทุกแห่งในสังกัดสนง. สกร. ประจำจังหวัดร้อยเอ็ด,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาการศึกษา ขั้นพื้นฐาน/การศึกษาด้านอาชีพ/การศึกษาตลอดชีวิต,,,สกร.ระดับตำบลทุกแห่งในสังกัดสกร.ระดับอำเภอทุกแห่ง,280,
TZD-9268C15CFA,ร้อยเอ็ด,โรงเรียนในสังกัดสพป.สพม. ในจังหวัดร้อยเอ็ด,วิชาการ,ในระบบ,เด็กและเยาวชนในระบบ,จัดการเรียนการสอน,,,โรงเรียน/สถานศึกษาในสังกัดจังหวัด,281,
TZD-446D4169EA,ร้อยเอ็ด,ศูนย์การศึกษาพิเศษประจำจังหวัดร้อยเอ็ด,วิชาการ,,เด็กพิการทุกประเภท,จัดการเรียนการสอนให้กับเด็กพิการทุกประเภท,ธวัชบุรี,,อำเภอธวัชบุรี จังหวัดร้อยเอ็ด,282,ยังไม่ระบุรูปแบบการศึกษา
TZD-439CACEA0A,ร้อยเอ็ด,สถาบันอาชีวศึกษา/เทคนิค/วิทยาลัยเกษตร,วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการเรียนการสอนด้านอาชีพ,,,สถานศึกษาในสังกัดจังหวัดร้อยเอ็ด,283,
TZD-F2B4A5CF23,ร้อยเอ็ด,วิทยาลัยสังกัด สอศ.,วิชาชีพ,นอกระบบ,บุคคลที่ที่ต้องการ,หลักสูตรระยะสั้น,,,กระจายทั้งจังหวัดร้อยเอ็ด,284,
TZD-182F8DA8B3,ร้อยเอ็ด,ศพส. 39,วิชาชีพ,นอกระบบ,บุคคลที่ที่ต้องการ,หลักสูตรระยะสั้น,เมืองร้อยเอ็ด,,อำเภอเมือง จังหวัดร้อยเอ็ด,285,
TZD-F2BF4C1799,ร้อยเอ็ด,สกร. อำเภอ,วิชาชีพ,นอกระบบ,บุคคลที่ที่ต้องการ,หลักสูตรระยะสั้น,,,ทุกอำเภอในจังหวัดร้อยเอ็ด,286,
TZD-1D50CE77A4,ร้อยเอ็ด,ศพค.อบต.ค้อใหญ่ อำเภอพนมไพร,วิชาชีวิต,ตามอัธยาศัย,ครอบครัวเด็ก/เยาวชน,ฝึกอาชีพ/การอยู่ร่วมกัน,พนมไพร,้ค้อใหญ่,อบต.ค้อใหญ่ อำเภอพนมไพร จังหวัดร้อยเอ็ด,287,
TZD-983B8C2FCC,ร้อยเอ็ด,ศพค.อบต.สะอาดสมบูรณ์,วิชาชีวิต,ตามอัธยาศัย,ครอบครัวเด็ก/เยาวชน,ฝึกอาชีพ/การอยู่ร่วมกัน,เมืองร้อยเอ็ด,สะอาดสมบูรณ์,อบต. สะอาดสมบูรณ์ อำเภอเมือง จังหวัดร้อยเอ็ด,288,
TZD-8CD9ABCB0E,ลพบุรี,ศูนย์พัฒนาครอบครัวในชุมชน (ศพค.),วิชาชีวิต,ตามอัธยาศัย,"สมาชิกในครอบครัวทุกกลุ่มวัยทั้งในสถานะปกติและประสบปัญหาโดยเน้นกลุ่มเปราะบาง เช่น ครอบครัวพ่อ/แม่เลี้ยงเดี่ยว,ข้ามรุ่นผู้สูงอายุตามลำพัง,ครอบครัววัยรุ่น",ทำงานร่วมกับท้องถิ่นในการเฝ้าระวังป้องกันความรุนแรงในครอบครัว,,,125 แห่ง 11 อำเ๓อ,289,
TZD-C0497CC8C7,ลพบุรี,สกร. ระดับตำบล,วิชาการ,ในระบบ,เด็กและเยาวชน,การศึกษาขั้นพื้นฐาน,,,124 ตำบล,290,
TZD-75DB7ABF09,ลพบุรี,โรงเรียนสังกัด อปท.,วิชาการ,ในระบบ,เด็กและเยาวชน,การศึกษาขั้นพื้นฐาน,,,19 แห่ง,291,
TZD-F3774AB2B9,ลพบุรี,วิทยาลัยสารพัดช่างลพบุรี,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีอาชีพ,ฝึกอบรมทักษะอาชีพระยะสั้น,เมืองลพบุรี,ท่าศาลา,ต.ท่าศาลา อ.เมือง จ.ลพบุรี,292,
TZD-AC6E79BA7E,ลพบุรี,วิทยาลัยอาชีวศึกษาลพบุรี,วิชาชีพ,ในระบบ,เยาวชนที่ต้องการมีอาชีพ,จัดการเรียนการสอนที่หลากหลายด้านอาชีพ,เมืองลพบุรี,ป่าตาล,ต.ป่าตาล อ.เมืองลพบุรี จ.ลพบุรี,293,
TZD-FD03CA4AB4,ลำปาง,สถานศึกษาขั้นพื้นฐาน,วิชาการ,ในระบบ,อายุ 3 -18 ปี,จัดการศึกษาภาคบังคับถึงการศึกษาขั้นพื้นฐาน,,,13 อำเภอ,294,
TZD-5AA2CA9898,ลำปาง,ศูนย์เรียนระดับอำเภอ/ตำบล (สกร.ะดับอำเภอ/ตำบล),วิชาการ,นอกระบบ,ประชาชนทั่วไป,"- จัดการศึกษาขั้นพื้นฐานเพื่อคุณวุฒิตามลำดับ, - จัดการศึกษาเพื่อพัฒนาตนเอง, - จัดการศึกษาตลอดชีวิต",,,13 อำเภอ 100 ตำบล,295,
TZD-E60DD33C2F,ลำปาง,สพร. 10 ลำปาง,วิชาชีพ,นอกระบบ,อายุ 15 ปีขึ้นไป,ฝึกอบรมทักษะอาชีพระยะสั้น เช่น ช่างซ่อมแอร์ ช่างสีรถยนต์ ช่างเย็บจักรโรงงาน,ห้างฉัตร,,อ.ห้างฉัตร จ.ลำปาง,296,
TZD-10E2C46F53,ลำปาง,ศูนย์พัฒนาสตรีภาคเหนือ,วิชาชีพ,ตามอัธยาศัย,สตรี แม่เลี้ยงเดี่ยว และครอบครัว,ฝึกอบรมทักษะอาชีพระยะสั้น เช่น ตัดเย็บเสื้อคลุม ขนมไทย,เมืองลำปาง,,อ.เมืองลำปาง จ.ลำปาง,297,
TZD-2F53E24D2B,ลำปาง,สวศ. (สวจ. 13 แห่ง),วิชาชีพ,ในระบบ,อายุ 15 ปีขึ้นไป,การศึกษาขั้นพื้นฐาน,,,13 อำเภอ,298,
TZD-6109903ED2,ลำปาง,ศูนย์ศึกษาและพัฒนาชุมชน ลำปาง,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,ฝึกอบรม/ศึกษาดูงาน,เมืองลำปาง,ปงแสนทอง,ต.ปงแสนทอง อ.เมืองลําปาง จ.ลําปาง,299,
TZD-5D47F33D1D,ลำปาง,มิวเซียมลำปาง,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,ศึกษาดูงาน,เมืองลำปาง,,อ.เมืองลําปาง จ.ลําปาง,300,
TZD-2627820D83,ลำปาง,ห้องสมุดประชาชนจังหวัด/อำเภอ,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,เรียนรู้ด้วยตนเอง,,,13 อำเภอ,301,
TZD-7A69FC0CBA,ลำปาง,พิพิธภัณฑ์ซากดึกดำบรรพ์ ธรณีวิทยาและธรรมชาติวิทยา จ.ลำปาง,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,ศึกษาดูงาน,เกาะคา,,อ.เกาะคา,302,
TZD-E9AAA13086,ลำปาง,โรงไฟฟ้าแม่เมาะ,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,ศึกษาดูงาน,แม่เมาะ,,อ.แม่เมาะ,303,
TZD-DCE0768FD9,ลำพูน,สกร.ระดับตำบล,วิชาการ,นอกระบบ,1) ประชาชนช่วงอายุ 15 ปีขึ้นไป 2) เด็กหลุดออกนอกระบบ,การจัดการเรียนรู้และการจัดการศึกษาขั้นพื้นฐาน,,,ทุกตำบล,304,
TZD-874630BC6F,ลำพูน,"สกร.ระดับตำบล,อำเภอ",วิชาชีพ,นอกระบบ,ประชาชนทั่วไป,"หลักสูตรพัฒนาตนเอง, การฝึกอาชีพระยะสั้น",,,"ตำบล,อำเภอ",305,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-C7BCF27495,ลำพูน,"สกร.ระดับตำบล,อำเภอ",วิชาชีวิต,นอกระบบ,ประชาชนทั่วไป,1)การจัดการเรียนรู้ตลอดชีวิต 2) การจัดการศึกษาเคลื่อนที่รถ Mobile 3) การอบรม เช่น เศรษฐกิจพอเพียง,,,"ตำบล,อำเภอ",306,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-294425A84E,ลำพูน,"สกร.ระดับอำเภอเมือง, อำเภอลี้",วิชาการ,นอกระบบ,ประชาชนที่มีอาชีพ,การเทียบมิติความรู้ความคิด,เมืองลำพูน,,อ.เมือง,307,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-EF4E9DEEF9,ลำพูน,"สกร.ระดับอำเภอเมือง, อำเภอลี้",วิชาการ,นอกระบบ,ประชาชนที่มีอาชีพ,การเทียบมิติความรู้ความคิด,ลี้,,อำเภอลี้,308,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-C8C1FBE19F,ลำพูน,สกร. ระดับอำเภอเมือง,วิชาการ,นอกระบบ,ผู้ที่มีความเป็นเลิศ,การสอบเทียบวัดผล,เมืองลำพูน,,อ.เมือง,309,
TZD-B5B589B2F8,ศรีสะเกษ,วิทยาลัยเทคนิค,วิชาชีพ,ในระบบ,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,การเรียนรู้ฝึกทักษะเฉพาะทางเพื่อประกอบอาชีพ,,,ทุกสถานศึกษาทั่วจังหวัด,310,
TZD-4C6F27EC5E,ศรีสะเกษ,อาชีวศึกษา,วิชาชีพ,ในระบบ,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,การเรียนรู้ฝึกทักษะเฉพาะทางเพื่อประกอบอาชีพ,,,ทุกสถานศึกษาทั่วจังหวัด,311,
TZD-B8B59E627D,ศรีสะเกษ,วิทยาลัยเทคโนโลยี,วิชาชีพ,ในระบบ,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,การเรียนรู้ฝึกทักษะเฉพาะทางเพื่อประกอบอาชีพ,,,ทุกสถานศึกษาทั่วจังหวัด,312,
TZD-62E883C091,ศรีสะเกษ,วิทยาลัยเกษตรและเทคโนโลยี,วิชาชีพ,นอกระบบ,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,การเรียนรู้ฝึกทักษะเฉพาะทางเพื่อประกอบอาชีพ,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,313,
TZD-223C991D8C,ศรีสะเกษ,วิทยาลัยสารพัดช่าง,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพ,การเรียนรู้ฝึกทักษะเฉพาะทางเพื่อประกอบอาชีพ,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,314,
TZD-F0F2F91964,ศรีสะเกษ,"สปป., สพม.",วิชาการ,ในระบบ,เด็กและเยาวชนอายุต่ำกว่า 15 ปี,จัดการเรียนการศึกษาขั้นพื้นฐาน,,,โรงเรียนในทุกตำบล อำเภอ และจังหวัด,315,
TZD-0602DA8665,ศรีสะเกษ,สกร.,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบการศึกษาอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,,,ทุกสกร.ทั่วจังหวัด,316,
TZD-C0C198FA79,ศรีสะเกษ,ศูนย์ฝึกอาชีพสตรี,วิชาชีวิต,ตามอัธยาศัย,บุคคลทั่วไปที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,317,
TZD-457E773B53,ศรีสะเกษ,ศูนย์สงเคราะห์และฝึกอาชีพเยาวชน,วิชาชีวิต,ตามอัธยาศัย,บุคคลทั่วไปที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,318,
TZD-C38B092DBB,ศรีสะเกษ,ศูนย์ฝึกฝีมือแรงงาน,วิชาชีวิต,ตามอัธยาศัย,บุคคลทั่วไปที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,319,
TZD-79E9F28122,ศรีสะเกษ,กรมแรงงานจังหวัด,วิชาชีวิต,ตามอัธยาศัย,บุคคลทั่วไปที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองศรีสะเกษ,,ในตัวจังหวัดศรีสะเกษ,320,
TZD-EEA5E0233C,สกลนคร,สำนักงานพัฒนาฝีมือแรงงานสกลนคร,วิชาชีพ,ตามอัธยาศัย,เดี๋ยวชนที่ต้องการฝึกทักษะอาชีพอายุ 15-18 ปี,ฝึกอบรมทักษะด้านอาชีพระยะสั้น (หลักสูตรการเรียน),เมืองสกลนคร,ห้วยยาง,ตำบลห้วยยาง อำเภอเมือง จังหวัดสกลนคร,321,
TZD-C8E35F294A,สกลนคร,วิทยาลัยอาชีวศึกษาจังหวัดสกลนคร,วิชาชีพ,ตามอัธยาศัย,ผู้ที่ต้องการฝึกทักษะอาชีพ,ฝึกอบรมทักษะอาชีพระยะสั้น,เมืองสกลนคร,ดงมะไฟ,ตำบลดงมะไฟ อำเภอเมือง จังหวัดสกลนคร,322,
